DATE,VIXCLS
2000-10-01,25.2000000000000000
2000-11-01,26.3828571428571429
2000-12-01,26.5305000000000000
2001-01-01,24.9185714285714286
2001-02-01,23.4115789473684211
2001-03-01,28.4968181818181818
2001-04-01,28.1340000000000000
2001-05-01,22.9440909090909091
2001-06-01,20.9404761904761905
2001-07-01,22.3161904761904762
2001-08-01,21.8617391304347826
2001-09-01,35.0653333333333333
2001-10-01,32.7213043478260870
2001-11-01,26.6309523809523810
2001-12-01,23.7200000000000000
2002-01-01,22.2528571428571429
2002-02-01,22.8757894736842105
2002-03-01,18.9850000000000000
2002-04-01,19.9004545454545455
2002-05-01,20.0877272727272727
2002-06-01,25.2710000000000000
2002-07-01,34.0495454545454545
2002-08-01,33.7427272727272727
2002-09-01,37.6475000000000000
2002-10-01,35.2430434782608696
2002-11-01,28.1750000000000000
2002-12-01,28.2104761904761905
2003-01-01,27.4242857142857143
2003-02-01,32.2184210526315789
2003-03-01,30.6342857142857143
2003-04-01,23.9919047619047619
2003-05-01,20.2395238095238095
2003-06-01,20.3623809523809524
2003-07-01,19.1613636363636364
2003-08-01,19.2742857142857143
2003-09-01,19.5323809523809524
2003-10-01,18.0234782608695652
2003-11-01,17.4010526315789474
2003-12-01,16.8263636363636364
2004-01-01,16.1010000000000000
2004-02-01,15.9984210526315789
2004-03-01,17.6873913043478261
2004-04-01,15.6985714285714286
2004-05-01,17.7050000000000000
2004-06-01,15.3571428571428571
2004-07-01,15.5023809523809524
2004-08-01,16.6840909090909091
2004-09-01,14.0809523809523810
2004-10-01,14.9738095238095238
2004-11-01,13.5771428571428571
2004-12-01,12.4595454545454545
2005-01-01,13.4380000000000000
2005-02-01,11.7089473684210526
2005-03-01,13.1263636363636364
2005-04-01,14.4590476190476190
2005-05-01,13.9676190476190476
2005-06-01,11.8686363636363636
2005-07-01,11.0490000000000000
2005-08-01,12.9513043478260870
2005-09-01,12.6280952380952381
2005-10-01,14.9376190476190476
2005-11-01,12.1476190476190476
2005-12-01,11.2600000000000000
2006-01-01,12.0360000000000000
2006-02-01,12.4710526315789474
2006-03-01,11.6939130434782609
2006-04-01,11.8473684210526316
2006-05-01,14.4545454545454545
2006-06-01,16.9186363636363636
2006-07-01,15.3260000000000000
2006-08-01,13.3517391304347826
2006-09-01,12.1845000000000000
2006-10-01,11.3063636363636364
2006-11-01,10.8176190476190476
2006-12-01,10.9645000000000000
2007-01-01,11.0425000000000000
2007-02-01,11.1552631578947368
2007-03-01,15.1627272727272727
2007-04-01,12.9330000000000000
2007-05-01,13.2977272727272727
2007-06-01,14.9476190476190476
2007-07-01,17.2733333333333333
2007-08-01,25.0260869565217391
2007-09-01,22.1989473684210526
2007-10-01,19.1156521739130435
2007-11-01,25.5823809523809524
2007-12-01,21.6510000000000000
2008-01-01,25.8161904761904762
2008-02-01,25.4560000000000000
2008-03-01,27.1035000000000000
2008-04-01,21.5627272727272727
2008-05-01,18.3033333333333333
2008-06-01,22.1104761904761905
2008-07-01,24.3213636363636364
2008-08-01,20.6957142857142857
2008-09-01,30.2385714285714286
2008-10-01,61.1773913043478261
2008-11-01,62.6394736842105263
2008-12-01,52.4050000000000000
2009-01-01,44.6830000000000000
2009-02-01,45.5705263157894737
2009-03-01,44.7954545454545455
2009-04-01,38.0638095238095238
2009-05-01,31.9780000000000000
2009-06-01,29.1404545454545455
2009-07-01,26.1627272727272727
2009-08-01,25.3371428571428571
2009-09-01,24.9266666666666667
2009-10-01,24.2522727272727273
2009-11-01,23.7835000000000000
2009-12-01,21.2395454545454545
2010-01-01,20.6431578947368421
2010-02-01,22.5400000000000000
2010-03-01,17.7673913043478261
2010-04-01,17.4242857142857143
2010-05-01,31.9295000000000000
2010-06-01,29.9163636363636364
2010-07-01,25.5652380952380952
2010-08-01,24.7459090909090909
2010-09-01,22.5176190476190476
2010-10-01,20.3733333333333333
2010-11-01,20.0957142857142857
2010-12-01,17.5695454545454545
2011-01-01,17.3155000000000000
2011-02-01,17.4300000000000000
2011-03-01,20.7234782608695652
2011-04-01,16.2440000000000000
2011-05-01,16.9114285714285714
2011-06-01,19.1531818181818182
2011-07-01,19.2275000000000000
2011-08-01,35.0291304347826087
2011-09-01,36.5300000000000000
2011-10-01,32.8290476190476190
2011-11-01,31.9419047619047619
2011-12-01,25.0476190476190476
2012-01-01,20.2280000000000000
2012-02-01,18.4205000000000000
2012-03-01,16.1672727272727273
2012-04-01,17.8230000000000000
2012-05-01,21.0018181818181818
2012-06-01,21.1309523809523810
2012-07-01,17.5652380952380952
2012-08-01,15.6895652173913043
2012-09-01,15.2847368421052632
2012-10-01,16.2761904761904762
2012-11-01,16.7019047619047619
2012-12-01,17.3070000000000000
2013-01-01,13.5052380952380952
2013-02-01,14.0726315789473684
2013-03-01,13.0315000000000000
2013-04-01,13.9672727272727273
2013-05-01,13.4936363636363636
2013-06-01,17.2715000000000000
2013-07-01,13.9745454545454545
2013-08-01,14.2100000000000000
2013-09-01,14.6920000000000000
2013-10-01,15.4078260869565217
2013-11-01,12.9240000000000000
2013-12-01,14.1923809523809524
2014-01-01,14.2409523809523810
2014-02-01,15.4700000000000000
2014-03-01,14.8366666666666667
2014-04-01,14.1980952380952381
2014-05-01,12.4752380952380952
2014-06-01,11.5414285714285714
2014-07-01,12.2963636363636364
2014-08-01,13.4919047619047619
2014-09-01,13.4666666666666667
2014-10-01,18.0586956521739130
2014-11-01,13.4131578947368421
2014-12-01,16.2922727272727273
2015-01-01,19.1195000000000000
2015-02-01,15.9042105263157895
2015-03-01,14.8127272727272727
2015-04-01,13.4947619047619048
2015-05-01,13.3385000000000000
2015-06-01,14.3395454545454545
2015-07-01,14.3527272727272727
2015-08-01,19.4280952380952381
2015-09-01,24.3771428571428571
2015-10-01,16.7895454545454545
2015-11-01,16.2100000000000000
2015-12-01,18.0254545454545455
2016-01-01,23.7178947368421053
